"route","region","location.bcr","location.statenum","location.routename","nyears_start","nyears_end","complete_coverage","matssname","window","nreq"
45,91,23,91,"OCONTO FALLS",5,5,TRUE,"bbs_rtrg_45_91",4,5
54,91,23,91,"KENDALL",5,5,TRUE,"bbs_rtrg_54_91",4,5
63,91,23,91,"PT WASHINGTN",5,5,TRUE,"bbs_rtrg_63_91",4,5
64,91,23,91,"N ANDOVER",5,5,TRUE,"bbs_rtrg_64_91",4,5
65,91,23,91,"HAZEL GREEN",5,5,TRUE,"bbs_rtrg_65_91",4,5
66,91,23,91,"WIOTA",5,5,TRUE,"bbs_rtrg_66_91",4,5
69,91,23,91,"PARIS",5,5,TRUE,"bbs_rtrg_69_91",4,5
4,39,24,39,"CANTON",5,5,TRUE,"bbs_rtrg_4_39",4,5
7,2,24,2,"SWAIM",5,5,TRUE,"bbs_rtrg_7_2",4,5
11,67,24,67,"BARON",5,5,TRUE,"bbs_rtrg_11_67",4,5
21,35,24,35,"PIMENTO",5,5,TRUE,"bbs_rtrg_21_35",4,5
22,35,24,35,"BRAZIL",5,5,TRUE,"bbs_rtrg_22_35",4,5
27,35,24,35,"AZALIA",5,5,TRUE,"bbs_rtrg_27_35",4,5
35,35,24,35,"INDIAN SPGS",5,5,TRUE,"bbs_rtrg_35_35",4,5
44,39,24,39,"EAST UNION",5,5,TRUE,"bbs_rtrg_44_39",4,5
60,34,24,34,"BREMEN",5,5,TRUE,"bbs_rtrg_60_34",4,5
86,66,24,66,"ROME",5,5,TRUE,"bbs_rtrg_86_66",4,5
5,7,25,7,"STAMPS",5,5,TRUE,"bbs_rtrg_5_7",4,5
13,7,25,7,"HOLLYWOOD",5,5,TRUE,"bbs_rtrg_13_7",4,5
22,7,25,7,"COAL HILL",5,5,TRUE,"bbs_rtrg_22_7",4,5
24,7,25,7,"MASSARD",5,5,TRUE,"bbs_rtrg_24_7",4,5
45,83,25,83,"CALEDONIA",5,5,TRUE,"bbs_rtrg_45_83",4,5
7,52,26,52,"CP GIRARDEAU",5,5,TRUE,"bbs_rtrg_7_52",4,5
8,7,26,7,"HUGHES",5,5,TRUE,"bbs_rtrg_8_7",4,5
9,42,26,42,"ROSELAND",5,5,TRUE,"bbs_rtrg_9_42",4,5
10,7,26,7,"SOUTH BEND",5,5,TRUE,"bbs_rtrg_10_7",4,5
19,7,26,7,"SAFFELL",5,5,TRUE,"bbs_rtrg_19_7",4,5
3,39,27,39,"SHILOH",5,5,TRUE,"bbs_rtrg_3_39",4,5
11,63,27,63,"KINSTON",5,5,TRUE,"bbs_rtrg_11_63",4,5
15,25,27,25,"FT GADSDEN",5,5,TRUE,"bbs_rtrg_15_25",4,5
16,2,27,2,"HOWARD",5,5,TRUE,"bbs_rtrg_16_2",4,5
24,2,27,2,"SPRAGUE",5,5,TRUE,"bbs_rtrg_24_2",4,5
35,2,27,2,"MCLELLAN",5,5,TRUE,"bbs_rtrg_35_2",4,5
38,27,27,27,"TAZEWELL",5,5,TRUE,"bbs_rtrg_38_27",4,5
45,2,27,2,"WHITEHOUSE",5,5,TRUE,"bbs_rtrg_45_2",4,5
47,2,27,2,"JENA",5,5,TRUE,"bbs_rtrg_47_2",4,5
155,27,27,27,"COFFEE CO",5,5,TRUE,"bbs_rtrg_155_27",4,5
14,88,28,88,"PUTNAM",5,5,TRUE,"bbs_rtrg_14_88",4,5
19,59,28,59,"KEMAH LAKE",5,5,TRUE,"bbs_rtrg_19_59",4,5
31,82,28,82,"ELK VALLEY",5,5,TRUE,"bbs_rtrg_31_82",4,5
33,82,28,82,"LOVELL",5,5,TRUE,"bbs_rtrg_33_82",4,5
34,82,28,82,"OLIVER SPGS",5,5,TRUE,"bbs_rtrg_34_82",4,5
38,72,28,72,"HOP BOTTOM",5,5,TRUE,"bbs_rtrg_38_72",4,5
41,90,28,90,"BEBEE",5,5,TRUE,"bbs_rtrg_41_90",4,5
49,66,28,66,"DRESDEN",5,5,TRUE,"bbs_rtrg_49_66",4,5
52,72,28,72,"WAKENA",5,5,TRUE,"bbs_rtrg_52_72",4,5
61,72,28,72,"WILLIAMSBURG",5,5,TRUE,"bbs_rtrg_61_72",4,5
9,46,29,46,"EMMITSBURG",5,5,TRUE,"bbs_rtrg_9_46",4,5
13,46,29,46,"WARFIELDSBRG",5,5,TRUE,"bbs_rtrg_13_46",4,5
14,46,29,46,"PLEASANT VAL",5,5,TRUE,"bbs_rtrg_14_46",4,5
36,27,29,27,"BOWDON",5,5,TRUE,"bbs_rtrg_36_27",4,5
46,27,29,27,"JULIETTE",5,5,TRUE,"bbs_rtrg_46_27",4,5
84,72,29,72,"COLLEGEVILLE",5,5,TRUE,"bbs_rtrg_84_72",4,5
97,72,29,72,"DOE RUN",5,5,TRUE,"bbs_rtrg_97_72",4,5
112,46,29,46,"IJAMSVILLE",5,5,TRUE,"bbs_rtrg_112_46",4,5
126,63,29,63,"EDEN",5,5,TRUE,"bbs_rtrg_126_63",4,5
182,72,29,72,"SCHWENKSVILL",5,5,TRUE,"bbs_rtrg_182_72",4,5
3,59,30,59,"SIX POINTS",5,5,TRUE,"bbs_rtrg_3_59",4,5
4,58,30,58,"DOVER",5,5,TRUE,"bbs_rtrg_4_58",4,5
10,88,30,88,"PORT ROYAL",5,5,TRUE,"bbs_rtrg_10_88",4,5
14,18,30,18,"MID HADDAM",5,5,TRUE,"bbs_rtrg_14_18",4,5
16,47,30,47,"S BARRE",5,5,TRUE,"bbs_rtrg_16_47",4,5
31,46,30,46,"POMFRET",5,5,TRUE,"bbs_rtrg_31_46",4,5
37,46,30,46,"PINEY NECK",5,5,TRUE,"bbs_rtrg_37_46",4,5
42,46,30,46,"HONGA",5,5,TRUE,"bbs_rtrg_42_46",4,5
44,46,30,46,"VIENNA",5,5,TRUE,"bbs_rtrg_44_46",4,5
149,46,30,46,"BERLIN",5,5,TRUE,"bbs_rtrg_149_46",4,5
