uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF,publicationDate,release
3883d482-5010-4918-94bb-65c42fdaf945,C3457C61914C46D9AEA47EC865934DB5,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-05-06,2016-05-06,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
18a0be36-e67a-4b72-80f5-186590cb0264,B19AED64E69D424EBA55C4A01FFD5304,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-05-06,2016-05-06,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
8670d8c2-538a-4918-b7b5-68a31c3cf716,34A4F21FC1BD472E93928C8A094AF0E3,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-05-06,2016-05-06,,NEON.DOC.000481vG,Currently using Sampling Protocol Version: NEON.DOC.00481vG,,20210113T175601Z,RELEASE-2021
78bcc589-d96b-4e53-a404-381d34395e86,9459810D1C7140698286135D2F987F4B,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-06-01,2016-06-01,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
04c81805-d558-4711-a736-2898b20f40dd,14C16418D1294DB981130666B3546017,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-06-01,2016-06-01,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
a3b6bfe5-0a69-4dac-bcd2-a6fdb7d24eba,CD1E94F635704783BABCB723D571823E,ORNL_007.mammalGrid.mam,D07,ORNL,ORNL_007,2016-06-01,2016-06-01,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
584a075f-ba3f-4eec-a211-564fda22e8e4,45D1A1B025C34150AB391BCABA9E7E66,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2016-06-01,2016-06-01,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
c669fe7d-7e89-4b5e-b231-540859a68053,8A9E7A8967814AE6B82535A5BF187794,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-06-01,2016-06-01,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
57816073-62f0-4fe7-8033-7f13bca059ee,9BB43516A85140128763B18FAA0C4717,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-06-02,2016-06-02,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
f34d74bd-39bf-484b-ae55-41267d4b5695,A719772A4E0B41CDB3C0B5CF1A41A282,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-06-02,2016-06-02,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
baa6b5de-cd10-4301-95f3-6af676b2bc57,77521E789A474178B1F85B1AAA59F4DF,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-06-02,2016-06-02,,NEON.DOC.000481vH,"",,20210113T175556Z,RELEASE-2021
9b0668cf-69d6-4e34-93ce-dd8bb1e6f6bc,186C3531C25447259E3D9E82D31A7B38,ORNL_039.mammalGrid.mam,D07,ORNL,ORNL_039,2016-06-02,2016-06-02,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175556Z,RELEASE-2021
63968309-ad5e-46e6-be31-c1f4044be156,6CB142B530C542F9BB4F9889C8E4E3DF,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-06-03,2016-06-03,,NEON.DOC.000481vH,"",,20210113T175556Z,RELEASE-2021
2965542b-e373-462a-a97f-4c8cf1ebe951,EC2AD027BD6F4A97B662A003620773B7,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-06-03,2016-06-03,,NEON.DOC.000481vH,"",,20210113T175556Z,RELEASE-2021
61051a8b-ce9e-46ac-b131-b8dcb2bf4e4f,9831023C0DF1450CB0DD06BA943FC3CC,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-06-03,2016-06-03,,NEON.DOC.000481vH,"",,20210113T175556Z,RELEASE-2021
63328e35-371b-47a4-878d-b5cf2a873c89,68B72DFCF631466E9903B0D259B35F15,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-07-06,2016-07-06,,NEON.DOC.000481vH,"",,20210113T175639Z,RELEASE-2021
7515d219-7266-4b96-88c1-c3a6fcafc79a,210BD64CDE684659A07A8B940C6B1035,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-07-06,2016-07-06,,NEON.DOC.000481vH,"",,20210113T175639Z,RELEASE-2021
92d4c562-4040-49d9-b52f-406d8940134a,2063136094AC4531B29A1627A1440C0B,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-07-06,2016-07-06,,NEON.DOC.000481vH,"",,20210113T175639Z,RELEASE-2021
83c0b8b9-31a2-486c-bccd-1cc7e01b2f81,2BBEB96B38F8461B8F32832A55536216,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-07-07,2016-07-07,,NEON.DOC.000481vH,"",,20210113T175639Z,RELEASE-2021
974c904b-47ae-46d6-8ee3-d28fc4d98dd0,B47038DADA1F40F18441EE260399EEE8,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-07-07,2016-07-07,,NEON.DOC.000481vH,"",,20210113T175639Z,RELEASE-2021
2e87279d-d2e1-424e-a9a5-23886f76c507,777B10B06BCC48D4B7720D10102E7B41,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-07-07,2016-07-07,,NEON.DOC.000481vH,"",,20210113T175639Z,RELEASE-2021
