Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
4953,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Scalloped Antthrush,Chamaeza turdina,"(Cabanis & Heine, 1859)",R,LC,NA,Schwartz's Antthrush,NA,22703218
4954,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Rufous-tailed Antthrush,Chamaeza ruficauda,"(Cabanis & Heine, 1859)",R,LC,NA,NA,NA,22703225
4955,PASSERIFORMES,Formicariidae,Ground-antbirds,NA,NA,Barred Antthrush,Chamaeza mollissima,"Sclater, 1855",R,LC,NA,NA,NA,22703228
4956,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Tawny-throated Leaftosser,Sclerurus mexicanus,"Sclater, 1857",R,LC,NA,NA,NA,22702962
4957,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Short-billed Leaftosser,Sclerurus rufigularis,"Pelzeln, 1868",R,LC,NA,NA,NA,22702965
4958,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Scaly-throated Leaftosser,Sclerurus guatemalensis,"(Hartlaub, 1844)",R,LC,NA,NA,NA,22702978
4959,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Black-tailed Leaftosser,Sclerurus caudacutus,"(Vieillot, 1816)",R,LC,NA,NA,NA,22702972
4960,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Grey-throated Leaftosser,Sclerurus albigularis,"Sclater & Salvin, 1869",R,NT,NA,Gray-throated Leaftosser,NA,22702968
4961,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Rufous-breasted Leaftosser,Sclerurus scansor,"(Ménétries, 1835)",R,LC,NA,NA,"Sclerurus scansor and S. cearensis (del Hoyo and Collar 2016) were previously lumped as S. scansor following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661252
4962,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Ceara Leaftosser,Sclerurus cearensis,"Snethlage, 1924",R,VU,NA,NA,"Sclerurus scansor and S. cearensis (del Hoyo and Collar 2016) were previously lumped as S. scansor following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661256
4963,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Coastal Miner,Geositta peruviana,"Lafresnaye, 1847",R,LC,NA,NA,NA,22701988
4964,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Slender-billed Miner,Geositta tenuirostris,"(Lafresnaye, 1836)",R,LC,NA,NA,NA,22702009
4965,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Common Miner,Geositta cunicularia,"(Vieillot, 1816)",R,LC,NA,NA,NA,22701981
4966,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Puna Miner,Geositta punensis,"Dabbene, 1917",R,LC,NA,NA,NA,22701991
4967,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Campo Miner,Geositta poeciloptera,"(Wied, 1830)",R,VU,Geobates poecilopterus,NA,NA,22701974
4968,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Thick-billed Miner,Geositta crassirostris,"Sclater, 1866",R,LC,NA,NA,NA,22702006
4969,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Rufous-banded Miner,Geositta rufipennis,"(Bumeister, 1860)",R,LC,NA,NA,NA,22702003
4970,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Greyish Miner,Geositta maritima,"(D'Orbigny & Lafresnaye, 1837)",R,LC,NA,Grayish Miner,NA,22701984
4971,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Short-billed Miner,Geositta antarctica,"Landbeck, 1880",R,LC,NA,NA,NA,22702000
4972,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Dark-winged Miner,Geositta saxicolina,"Taczanowski, 1875",R,LC,NA,NA,NA,22701994
4973,PASSERIFORMES,Furnariidae,Ovenbirds,Sclerurinae,NA,Creamy-rumped Miner,Geositta isabellina,"(Philippi & Landbeck, 1864)",R,LC,NA,NA,NA,22701997
4974,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Spot-throated Woodcreeper,Certhiasomus stictolaemus,"(Pelzeln, 1868)",R,LC,Deconychura stictolaema,NA,NA,22703032
4975,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Little Long-tailed Woodcreeper,Deconychura typica,"Cherrie, 1891",R,LC,NA,NA,"Deconychura longicauda, D. typica and D. pallida (del Hoyo and Collar 2016) were previously lumped as D. longicauda following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661269
4976,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Northern Long-tailed Woodcreeper,Deconychura longicauda,"(Pelzeln, 1868)",R,LC,NA,NA,"Deconychura longicauda, D. typica and D. pallida (del Hoyo and Collar 2016) were previously lumped as D. longicauda following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661261
4977,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Southern Long-tailed Woodcreeper,Deconychura pallida,"Zimmer, 1929",R,NT,NA,NA,"Deconychura longicauda, D. typica and D. pallida (del Hoyo and Collar 2016) were previously lumped as D. longicauda following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661265
4978,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Western Olivaceous Woodcreeper,Sittasomus griseus,"Jardine, 1847",R,LC,NA,NA,"Sittasomus griseicapillus and S. griseus (del Hoyo and Collar 2016) were previously lumped as S. griseicapillus following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661278
4979,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Eastern Olivaceous Woodcreeper,Sittasomus griseicapillus,"(Vieillot, 1818)",R,LC,NA,NA,"Sittasomus griseicapillus and S. griseus (del Hoyo and Collar 2016) were previously lumped as S. griseicapillus following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103661274
4980,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Tyrannine Woodcreeper,Dendrocincla tyrannina,"(Lafresnaye, 1851)",R,LC,NA,NA,NA,22703007
4981,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,White-chinned Woodcreeper,Dendrocincla merula,"(Lichtenstein, 1820)",R,LC,NA,NA,NA,22703023
4982,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Ruddy Woodcreeper,Dendrocincla homochroa,"(Sclater, 1859)",R,LC,NA,NA,NA,22703026
4983,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Tawny-winged Woodcreeper,Dendrocincla anabatina,"Sclater, 1859",R,LC,NA,NA,NA,22703020
4984,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Plain-brown Woodcreeper,Dendrocincla fuliginosa,"(Vieillot, 1818)",R,LC,NA,NA,Dendrocincla fuliginosa and D. turdina (del Hoyo and Collar 2016) were previously lumped as D. fuliginosa following AOU (1998 & supplements) and SACC (2005 & updates).,22703010
4985,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Sittasomini,Plain-winged Woodcreeper,Dendrocincla turdina,"(Lichtenstein, 1820)",R,LC,NA,Thrush-like Woodcreeper,Dendrocincla fuliginosa and D. turdina (del Hoyo and Collar 2016) were previously lumped as D. fuliginosa following AOU (1998 & supplements) and SACC (2005 & updates).,22703015
4986,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Wedge-billed Woodcreeper,Glyphorynchus spirurus,"(Vieillot, 1819)",R,LC,NA,NA,NA,22703043
4987,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Cinnamon-throated Woodcreeper,Dendrexetastes rufigula,"(Lesson, 1844)",R,LC,NA,NA,NA,22703052
4988,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Long-billed Woodcreeper,Nasica longirostris,"(Vieillot, 1818)",R,LC,NA,NA,NA,22703049
4989,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Western Barred Woodcreeper,Dendrocolaptes sanctithomae,"(Lafresnaye, 1852)",R,LC,NA,NA,Dendrocolaptes sanctithomae and D. punctipectus (del Hoyo and Collar 2016) were previously lumped as D. sanctithomae following AOU (1998 & supplements) and SACC (2005 & updates).,103661292
4990,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Eastern Barred Woodcreeper,Dendrocolaptes punctipectus,"Phelps & Gilliard, 1940",R,VU,NA,NA,Dendrocolaptes sanctithomae and D. punctipectus (del Hoyo and Collar 2016) were previously lumped as D. sanctithomae following AOU (1998 & supplements) and SACC (2005 & updates).,103661296
4991,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Amazonian Barred Woodcreeper,Dendrocolaptes certhia,"(Boddaert, 1783)",R,LC,NA,Amazonian Barred-Woodcreeper,NA,22703079
4992,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Hoffmanns's Woodcreeper,Dendrocolaptes hoffmannsi,"Hellmayr, 1909",R,VU,NA,Hoffman's Woodcreeper,NA,22703085
4993,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Black-banded Woodcreeper,Dendrocolaptes picumnus,"Lichtenstein, 1820",R,LC,NA,NA,NA,22703089
4994,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Planalto Woodcreeper,Dendrocolaptes platyrostris,"Spix, 1824",R,LC,NA,NA,NA,22703092
4995,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Red-billed Woodcreeper,Hylexetastes perrotii,"(Lafresnaye, 1844)",R,LC,Hylexetastes uniformis; Hylexetastes brigidai,NA,"Hylexetastes perrotii (del Hoyo and Collar 2016) was previously split into Hylexetastes perrotii (Ridgely and Tudor [1994]), H. uniformis (Ridgely and Tudor [1994]) and H. brigidai (da Silva et al. [1995]).",103661301
4996,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Bar-bellied Woodcreeper,Hylexetastes stresemanni,"Snethlage, 1925",R,LC,NA,NA,NA,22703055
4997,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,White-throated Woodcreeper,Xiphocolaptes albicollis,"(Vieillot, 1818)",R,LC,NA,NA,NA,22703068
4998,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,"(Lesson, 1840)",R,LC,NA,NA,NA,22703063
4999,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Moustached Woodcreeper,Xiphocolaptes falcirostris,"(Spix, 1824)",R,VU,NA,NA,NA,22703071
5000,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Great Rufous Woodcreeper,Xiphocolaptes major,"(Vieillot, 1818)",R,LC,NA,NA,NA,22703076
5001,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Striped Woodcreeper,Xiphorhynchus obsoletus,"(Lichtenstein, 1820)",R,LC,NA,NA,NA,22703112
5002,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Atlantic Woodcreeper,Xiphorhynchus atlanticus,"(Cory, 1916)",R,LC,NA,NA,"Xiphorhynchus fuscus and X. atlanticus (del Hoyo and Collar 2016) were previously lumped as X. fuscus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103669815
5003,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Lesser Woodcreeper,Xiphorhynchus fuscus,"(Vieillot, 1818)",R,LC,NA,NA,"Xiphorhynchus fuscus and X. atlanticus (del Hoyo and Collar 2016) were previously lumped as X. fuscus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103669772
5004,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Chestnut-rumped Woodcreeper,Xiphorhynchus pardalotus,"(Vieillot, 1818)",R,LC,NA,NA,NA,22703124
5005,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Ocellated Woodcreeper,Xiphorhynchus ocellatus,"(Spix, 1824)",R,LC,NA,NA,"Xiphorhynchus ocellatus, X. beauperthuysii and X. chunchotambo (del Hoyo and Collar 2016) were previously lumped as X. ocellatus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103669826
5006,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Line-crowned Woodcreeper,Xiphorhynchus beauperthuysii,"(Pucheran & Lafresnaye, 1850)",R,LC,NA,NA,"Xiphorhynchus ocellatus, X. beauperthuysii and X. chunchotambo (del Hoyo and Collar 2016) were previously lumped as X. ocellatus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103669951
5007,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Tschudi's Woodcreeper,Xiphorhynchus chunchotambo,"(von Tschudi, 1844)",R,LC,NA,NA,"Xiphorhynchus ocellatus, X. beauperthuysii and X. chunchotambo (del Hoyo and Collar 2016) were previously lumped as X. ocellatus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670009
5008,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Elegant Woodcreeper,Xiphorhynchus elegans,"(Pelzeln, 1868)",R,LC,NA,NA,NA,22703121
5009,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Spix's Woodcreeper,Xiphorhynchus spixii,"(Lesson, 1830)",R,LC,NA,NA,NA,22703118
5010,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Cocoa Woodcreeper,Xiphorhynchus susurrans,"(Jardine, 1847)",R,LC,NA,NA,NA,22729055
5011,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Buff-throated Woodcreeper,Xiphorhynchus guttatus,"(Lichtenstein, 1820)",R,LC,NA,NA,Xiphorhynchus guttatus and X. guttatoides (del Hoyo and Collar 2016) were previously lumped as X. guttatus following SACC (2005 & updates).,103670045
5012,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Lafresnaye's Woodcreeper,Xiphorhynchus guttatoides,"(Lafresnaye, 1850)",R,LC,NA,NA,Xiphorhynchus guttatus and X. guttatoides (del Hoyo and Collar 2016) were previously lumped as X. guttatus following SACC (2005 & updates).,103670131
5013,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,"Swainson, 1827",R,LC,NA,NA,NA,22703136
5014,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Black-striped Woodcreeper,Xiphorhynchus lachrymosus,"(Lawrence, 1862)",R,LC,NA,NA,NA,22703140
5015,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Northern Spotted Woodcreeper,Xiphorhynchus erythropygius,"(Sclater, 1859)",R,LC,NA,NA,"Xiphorhynchus erythropygius and X. aequatorialis (del Hoyo and Collar 2016) were previously lumped as X. erythropygius following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670271
5016,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Southern Spotted Woodcreeper,Xiphorhynchus aequatorialis,"(von Berlepsch & Taczanowski, 1884)",R,LC,NA,NA,"Xiphorhynchus erythropygius and X. aequatorialis (del Hoyo and Collar 2016) were previously lumped as X. erythropygius following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670275
5017,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Olive-backed Woodcreeper,Xiphorhynchus triangularis,"(Lafresnaye, 1842)",R,LC,NA,NA,NA,22703146
5018,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Straight-billed Woodcreeper,Dendroplex picus,"(Gmelin, 1788)",R,LC,Xiphorhynchus picus,NA,NA,22703095
5019,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Zimmer's Woodcreeper,Dendroplex kienerii,"(Zimmer, 1934)",R,NT,Xiphorhynchus necopinus; Xiphorhynchus kienerii,NA,NA,22703103
5020,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Black-billed Scythebill,Campylorhamphus falcularius,"(Vieillot, 1822)",R,LC,NA,NA,NA,22703188
5021,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Brown-billed Scythebill,Campylorhamphus pusillus,"(Sclater, 1860)",R,LC,NA,NA,NA,22703191
5022,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Red-billed Scythebill,Campylorhamphus trochilirostris,"(Lichtenstein, 1820)",R,LC,NA,NA,NA,22703185
5023,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Curve-billed Scythebill,Campylorhamphus procurvoides,"(Lafresnaye, 1850)",R,LC,NA,NA,"Campylorhamphus procurvoides, C. probatus and C. multostriatus (del Hoyo and Collar 2016) were previously lumped as C. procurvoides following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670311
5024,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Tapajos Scythebill,Campylorhamphus probatus,"Zimmer, 1934",R,LC,NA,NA,"Campylorhamphus procurvoides, C. probatus and C. multostriatus (del Hoyo and Collar 2016) were previously lumped as C. procurvoides following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670340
5025,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Xingu Scythebill,Campylorhamphus multostriatus,"(E. Snethlage, 1907)",R,LC,NA,NA,"Campylorhamphus procurvoides, C. probatus and C. multostriatus (del Hoyo and Collar 2016) were previously lumped as C. procurvoides following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670382
5026,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Greater Scythebill,Drymotoxeres pucheranii,"(Des Murs, 1849)",R,NT,Campylorhamphus pucherani,NA,Drymotoxeres pucheranii (del Hoyo and Collar 2016) was previously listed as Drymotoxeres pucherani.,22703177
5027,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Scimitar-billed Woodcreeper,Drymornis bridgesii,"(Eyton, 1849)",R,LC,NA,NA,NA,22703046
5028,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Narrow-billed Woodcreeper,Lepidocolaptes angustirostris,"(Vieillot, 1818)",R,LC,NA,NA,NA,22703155
5029,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Lineated Woodcreeper,Lepidocolaptes albolineatus,"(Lafresnaye, 1846)",R,LC,NA,NA,"Lepidocolaptes albolineatus, L. duidae and L. fuscicapillus (del Hoyo and Collar 2016) were previously lumped as L. albolineatus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670471
5030,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Duida Woodcreeper,Lepidocolaptes duidae,"J.T. Zimmer, 1934",R,LC,NA,NA,"Lepidocolaptes albolineatus, L. duidae and L. fuscicapillus (del Hoyo and Collar 2016) were previously lumped as L. albolineatus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670608
5031,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Dusky-capped Woodcreeper,Lepidocolaptes fuscicapillus,"(von Pelzeln, 1868)",R,LC,NA,NA,"Lepidocolaptes albolineatus, L. duidae and L. fuscicapillus (del Hoyo and Collar 2016) were previously lumped as L. albolineatus following SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670637
5032,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Inambari Woodcreeper,Lepidocolaptes fatimalimae,"Rodrigues, Aleixo, Whittaker & Naka, 2013",R,LC,NA,NA,Lepidocolaptes fatimalimae (del Hoyo and Collar 2016) is recognised as a species following work by Rodrigues et al. (2013).,103670702
5033,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,"(Des Murs, 1849)",R,LC,NA,NA,NA,22703152
5034,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Scaled Woodcreeper,Lepidocolaptes squamatus,"(Lichtenstein, 1822)",R,LC,NA,NA,NA,22733742
5035,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Scalloped Woodcreeper,Lepidocolaptes falcinellus,"(Cabanis & Heine, 1859)",R,LC,NA,NA,NA,22733748
5036,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Montane Woodcreeper,Lepidocolaptes lacrymiger,"(Des Murs, 1849)",R,LC,NA,Montane Woodcreeper ,NA,22733132
5037,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,White-striped Woodcreeper,Lepidocolaptes leucogaster,"(Swainson, 1827)",R,LC,NA,NA,NA,22703149
5038,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Northern Spot-crowned Woodcreeper,Lepidocolaptes affinis,"(Lafresnaye, 1839)",R,LC,NA,NA,Lepidocolaptes affinis and L. neglectus (del Hoyo and Collar 2016) were previously lumped as L. affinis following AOU (1998 & supplements).,103670723
5039,PASSERIFORMES,Furnariidae,Ovenbirds,Dendrocolaptinae,Dendrocolaptini,Southern Spot-crowned Woodcreeper,Lepidocolaptes neglectus,"(Ridgway, 1909)",R,LC,NA,NA,Lepidocolaptes affinis and L. neglectus (del Hoyo and Collar 2016) were previously lumped as L. affinis following AOU (1998 & supplements).,103670743
5040,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Xenopini,Plain Xenops,Xenops genibarbis,"Illiger, 1811",R,LC,NA,NA,"Xenops minutus and X. genibarbis (del Hoyo and Collar 2016) were previously lumped as X. minutus following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670758
5041,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Xenopini,White-throated Xenops,Xenops minutus,"(Sparrman, 1788)",R,LC,NA,NA,"Xenops minutus and X. genibarbis (del Hoyo and Collar 2016) were previously lumped as X. minutus following AOU (1998 & supplements), SACC (2005 & updates), Sibley & Monroe (1990, 1993) and Stotz et al. (1996).",103670750
5042,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Xenopini,Streaked Xenops,Xenops rutilus,"Temminck, 1821",R,LC,NA,NA,Xenops rutilus (del Hoyo and Collar 2016) was previously listed as Xenops rutilans.,22702998
5043,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Xenopini,Slender-billed Xenops,Xenops tenuirostris,"Pelzeln, 1859",R,LC,NA,NA,NA,22702992
5044,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Berlepschiini,Palmcreeper,Berlepschia rikeri,"(Ridgway, 1886)",R,LC,NA,Point-tailed Palmcreeper,NA,22702754
5045,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Pygarrhichadini,Rufous-tailed Xenops,Microxenops milleri,"(Chapman, 1914)",R,LC,Xenops milleri,NA,NA,22702984
5046,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Pygarrhichadini,White-throated Treerunner,Pygarrhichas albogularis,"(King, 1831)",R,LC,NA,NA,NA,22703004
5047,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Pygarrhichadini,Rock Earthcreeper,Ochetorhynchus andaecola,"(d'Orbigny & Lafresnaye, 1838)",R,LC,Upucerthia andaecola,NA,NA,22702046
5048,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Pygarrhichadini,Crag Earthcreeper,Ochetorhynchus melanurus,"(Gray, 1846)",R,LC,Chilia melanura,Crag Chilia,Ochetorhynchus melanurus (del Hoyo and Collar 2016) was previously listed as O. melanura.,22702120
5049,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Pygarrhichadini,Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,"Meyen, 1834",R,LC,Upucerthia ruficauda; Ochetorhynchus ruficauda,NA,NA,22702034
5050,PASSERIFORMES,Furnariidae,Ovenbirds,Furnariinae,Pygarrhichadini,Band-tailed Earthcreeper,Ochetorhynchus phoenicurus,"(Gould, 1839)",R,LC,Eremobius phoenicurus,Band-tailed Eremobius,NA,22702667
