"","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","routetypeid","routetypedetailid","regionname"
"333",840,63,2,"MERRIMON",1,34.95713,-76.65516,3,27,1,1,"NORTH CAROLINA"
"334",840,63,10,"SPEED",1,35.9691437,-77.4434709,3,27,1,1,"NORTH CAROLINA"
"335",840,63,11,"KINSTON",1,35.2819414,-77.7112775,4,27,1,1,"NORTH CAROLINA"
"336",840,63,20,"BREVARD",1,35.2667187,-82.6803659,23,28,1,1,"NORTH CAROLINA"
"337",840,63,24,"ARCOLA",1,36.2540309,-77.9795614,11,29,1,1,"NORTH CAROLINA"
"338",840,63,109,"JAMESVILLE",1,35.6919219,-76.9896438,3,27,1,1,"NORTH CAROLINA"
"339",840,63,126,"EDEN",1,36.3766523,-79.8498737,11,29,1,1,"NORTH CAROLINA"
"340",840,64,4,"EDGELEY",1,46.3406907,-98.6828159,37,11,1,1,"NORTH DAKOTA"
"341",840,64,5,"LAKE GEORGE",1,46.8060287,-99.4688039,38,11,1,1,"NORTH DAKOTA"
"342",840,64,8,"EMERADO",1,47.9619307,-97.4077439,40,11,1,1,"NORTH DAKOTA"
"343",840,64,10,"WIMBLEDON",1,47.1679867,-98.4885929,37,11,1,1,"NORTH DAKOTA"
"344",840,64,11,"HORSEHEAD LK",1,47.0675197,-99.6292032,38,11,1,1,"NORTH DAKOTA"
"345",840,64,23,"CARPIO",1,48.4447167,-101.6472319,37,11,1,1,"NORTH DAKOTA"
"346",840,64,33,"ROOSEVELT PK",1,47.6171277,-103.5450979,39,17,1,1,"NORTH DAKOTA"
"347",840,64,36,"BENTLEY",1,46.1041487,-102.0608219,39,17,1,1,"NORTH DAKOTA"
"348",840,64,37,"GLEN ULLIN",1,46.7758047,-101.9283519,39,17,1,1,"NORTH DAKOTA"
"349",840,64,42,"SHEYENNE LK",1,47.6462687,-100.0542839,37,11,1,1,"NORTH DAKOTA"
"350",840,64,43,"BRADDOCK",1,46.6039277,-100.1056369,39,11,1,1,"NORTH DAKOTA"
"351",840,66,21,"LENOX",1,41.6803821,-80.7420743,24,13,1,1,"OHIO"
"352",840,66,22,"HERNER CRNS",1,41.3710349,-80.9900079,24,13,1,1,"OHIO"
"353",840,66,25,"KALIDA",1,40.9809757,-84.1972889,16,22,1,1,"OHIO"
"354",840,66,35,"NEW DOVER",1,40.246894,-83.2978987,31,22,1,1,"OHIO"
"355",840,66,42,"FULTON",1,40.4600977,-82.7639629,31,22,1,1,"OHIO"
"356",840,66,49,"DRESDEN",1,40.1062833,-81.8999167,22,28,1,1,"OHIO"
"357",840,66,67,"XENIA",1,39.6821707,-83.8036269,31,22,1,1,"OHIO"
"358",840,66,74,"OMEGA",1,39.1527143,-82.9107789,22,28,1,1,"OHIO"
"359",840,66,86,"ROME",1,38.6696358,-83.4163514,15,24,1,1,"OHIO"
"360",840,67,5,"MILL CREEK",1,34.448321,-96.828193,33,21,1,1,"OKLAHOMA"
"361",840,67,11,"BARON",1,35.8426817,-94.8876259,19,24,1,1,"OKLAHOMA"
"362",840,67,15,"BEGGS",1,35.7262277,-96.1218109,33,21,1,1,"OKLAHOMA"
"363",840,67,23,"WELCH",1,36.9173437,-95.1256319,33,22,1,1,"OKLAHOMA"
"364",840,69,6,"ALBEE",1,45.2238277,-118.9095229,65,10,1,1,"OREGON"
"365",840,69,8,"IMNAHA",1,45.72192,-116.7795945,65,9,1,1,"OREGON"
"366",840,69,9,"SALADO",1,44.5508867,-123.8027616,93,5,1,1,"OREGON"
"367",840,69,13,"LOGDELL",1,44.2168556,-119.2408498,65,10,1,1,"OREGON"
"368",840,69,18,"UMPQUA",1,43.3663377,-123.5037309,93,5,1,1,"OREGON"
"369",840,69,19,"WINBERRY",1,43.9074737,-122.5593339,93,5,1,1,"OREGON"
"370",840,69,21,"FANDANGO CAN",1,43.1649665,-120.6637819,89,9,1,1,"OREGON"
"371",840,69,26,"DAYS CREEK",1,42.9708857,-123.2140269,93,5,1,1,"OREGON"
"372",840,69,29,"PAISLEY",1,42.6688651,-120.793358,85,9,1,1,"OREGON"
"373",840,69,35,"JOSEPH",1,45.2809207,-117.2062679,65,9,1,1,"OREGON"
"374",840,69,46,"PENDLETON",1,45.6793737,-118.7501219,89,9,1,1,"OREGON"
"375",840,69,62,"FISH LAKE",1,42.9576667,-118.8677979,89,9,1,1,"OREGON"
"376",840,69,136,"SUMMIT PR",1,44.3417036,-120.5617158,65,10,1,1,"OREGON"
"377",840,72,3,"CLOVER",1,41.0816642,-80.3392441,24,13,1,1,"PENNSYLVANIA"
"378",840,72,6,"WHIG HILL",1,41.5335247,-79.3470999,24,28,1,1,"PENNSYLVANIA"
"379",840,72,8,"TEEPLEVILLE",1,41.7528857,-79.9481349,24,13,1,1,"PENNSYLVANIA"
"380",840,72,25,"ROSECRANS",1,41.0712247,-77.2939995,13,28,1,1,"PENNSYLVANIA"
"381",840,72,29,"MAWR GLEN",1,41.3121387,-76.6638159,24,28,1,1,"PENNSYLVANIA"
"382",840,72,33,"BOW BRIDGE",1,41.9588688,-76.0658601,24,28,1,1,"PENNSYLVANIA"
"383",840,72,34,"MARSH HILL",1,41.4410897,-76.9073399,24,28,1,1,"PENNSYLVANIA"
"384",840,72,35,"WALLER",1,41.2289,-76.4559998,13,28,1,1,"PENNSYLVANIA"
"385",840,72,36,"MILLVILLE",1,41.1152527,-76.4792479,13,28,1,1,"PENNSYLVANIA"
"386",840,72,37,"POCONO SUMMIT",1,41.1159967,-75.3893569,24,28,1,1,"PENNSYLVANIA"
"387",840,72,38,"HOP BOTTOM",1,41.7057127,-75.7927799,24,28,1,1,"PENNSYLVANIA"
"388",840,72,46,"BEAVER",1,40.6944365,-80.3072164,22,28,1,1,"PENNSYLVANIA"
"389",840,72,48,"PLESANT GROV",1,40.0771657,-80.3260179,22,28,1,1,"PENNSYLVANIA"
"390",840,72,49,"PARKWOOD",1,40.6243617,-79.2376019,22,28,1,1,"PENNSYLVANIA"
"391",840,72,50,"KITTANNING",1,40.8479343,-79.5569899,22,28,1,1,"PENNSYLVANIA"
"392",840,72,52,"WAKENA",1,40.4897627,-79.4811859,22,28,1,1,"PENNSYLVANIA"
"393",840,72,54,"SHELOCTA",1,40.6673234,-79.2349941,22,28,1,1,"PENNSYLVANIA"
"394",840,72,56,"MARGARET",1,40.8006168,-79.3662002,22,28,1,1,"PENNSYLVANIA"
"395",840,72,60,"MUNSON",1,40.9149712,-78.0608234,24,28,1,1,"PENNSYLVANIA"
"396",840,72,61,"WILLIAMSBURG",1,40.428119,-78.203532,13,28,1,1,"PENNSYLVANIA"
"397",840,72,63,"BALD EAGLE",1,40.7309987,-78.2178879,13,28,1,1,"PENNSYLVANIA"
"398",840,72,64,"WATERSTREET",1,40.5712157,-78.1386279,13,28,1,1,"PENNSYLVANIA"
"399",840,72,67,"ST COLLEGE",1,40.7666107,-77.8241719,13,28,1,1,"PENNSYLVANIA"
"400",840,72,68,"PERU MILLS",1,40.3760787,-77.6852029,13,28,1,1,"PENNSYLVANIA"
"401",840,72,69,"NAGINEY",1,40.7019007,-77.5415709,13,28,1,1,"PENNSYLVANIA"
"402",840,72,70,"CLEAR SPRING",1,40.0572077,-77.0638289,10,28,1,1,"PENNSYLVANIA"
"403",840,72,71,"PINE GR MILL",1,40.6956947,-77.8942099,13,28,1,1,"PENNSYLVANIA"
"404",840,72,72,"MIFFLINTOWN",1,40.5680517,-77.3969039,13,28,1,1,"PENNSYLVANIA"
"405",840,72,76,"MIDDLETOWN",1,40.2118951,-76.7190419,13,28,1,1,"PENNSYLVANIA"
"406",840,72,83,"HOMETOWN",1,40.7874732,-75.9610008,13,28,1,1,"PENNSYLVANIA"
"407",840,72,84,"COLLEGEVILLE",1,40.168557,-75.4610252,10,29,1,1,"PENNSYLVANIA"
"408",840,72,85,"NEW RINGGOLD",1,40.6899507,-75.9991309,13,28,1,1,"PENNSYLVANIA"
"409",840,72,86,"CLEARFIELD",1,40.8040057,-75.3435909,13,28,1,1,"PENNSYLVANIA"
"410",840,72,90,"GARRETT",1,39.8744757,-79.0688169,24,28,1,1,"PENNSYLVANIA"
"411",840,72,97,"DOE RUN",1,39.9160397,-75.8178319,10,29,1,1,"PENNSYLVANIA"
"412",840,72,132,"ELLENTON",1,41.546735,-76.9628251,24,28,1,1,"PENNSYLVANIA"
"413",840,72,155,"LAUREL HILL",1,40.1983067,-79.2656249,24,28,1,1,"PENNSYLVANIA"
"414",840,72,165,"LANDISBURG",1,40.3267106,-77.3695842,13,28,1,1,"PENNSYLVANIA"
"415",840,72,174,"MOUNT JOY",1,40.1439152,-76.464419,10,29,1,1,"PENNSYLVANIA"
"416",840,72,182,"SCHWENKSVILL",1,40.2282327,-75.6611919,10,29,1,1,"PENNSYLVANIA"
"417",840,72,189,"MILL RUN",1,39.9853173,-79.4174638,24,28,1,1,"PENNSYLVANIA"
"418",840,80,3,"HARDEEVILLE",1,32.2511024,-81.0334581,3,27,1,1,"SOUTH CAROLINA"
"419",840,81,3,"HOWARD",1,43.9499467,-97.4702229,37,11,1,1,"SOUTH DAKOTA"
"420",840,81,10,"VOLGA",1,44.2320836,-96.9486732,37,11,1,1,"SOUTH DAKOTA"
"421",840,81,29,"CUSTER",1,43.8204584,-103.640174,61,17,1,1,"SOUTH DAKOTA"
"422",840,81,35,"MAURINE",1,45.1458023,-102.5581808,39,17,1,1,"SOUTH DAKOTA"
"423",840,82,4,"BROWNSVILLE",1,35.5377957,-89.3824309,4,27,1,1,"TENNESSEE"
"424",840,82,6,"WHITEVILLE",1,35.3612207,-89.0787139,4,27,1,1,"TENNESSEE"
"425",840,82,9,"SWEETLIPS",1,35.4115013,-88.5485594,4,27,1,1,"TENNESSEE"
"426",840,82,10,"SILERTON",1,35.3431047,-88.8148959,4,27,1,1,"TENNESSEE"
"427",840,82,20,"WHITE HOUSE",1,36.5086597,-86.6658089,14,24,1,1,"TENNESSEE"
"428",840,82,27,"GLEN",1,35.3801394,-85.9158515,14,24,1,1,"TENNESSEE"
"429",840,82,29,"JASPER",1,35.1735485,-85.6693511,21,28,1,1,"TENNESSEE"
"430",840,82,31,"ELK VALLEY",1,36.4907462,-84.2932022,21,28,1,1,"TENNESSEE"
"431",840,82,32,"SMOKEY JCT",1,36.2936637,-84.3613059,21,28,1,1,"TENNESSEE"
"432",840,82,33,"LOVELL",1,35.9135129,-84.1514213,13,28,1,1,"TENNESSEE"
"433",840,82,34,"OLIVER SPGS",1,36.0487507,-84.3482669,21,28,1,1,"TENNESSEE"
"434",840,82,40,"MT OLIVE",1,35.9074137,-83.9205469,13,28,1,1,"TENNESSEE"
"435",840,82,41,"ALLENS BRDGE",1,36.0465477,-82.9128272,13,28,1,1,"TENNESSEE"
"436",840,83,2,"RACHAL",1,26.8901748,-98.135998,7,36,1,1,"TEXAS"
"437",840,83,7,"RANDADO",1,27.0738442,-98.8220264,7,36,1,1,"TEXAS"
"438",840,83,11,"HINKLES FER",1,28.9083337,-95.6139832,6,37,1,1,"TEXAS"
"439",840,83,30,"HONDO",1,29.3597192,-99.1420313,7,36,1,1,"TEXAS"
"440",840,83,42,"HARPER",1,30.3551169,-99.1490406,53,20,1,1,"TEXAS"
"441",840,83,45,"CALEDONIA",1,31.8819446,-94.5202804,4,25,1,1,"TEXAS"
"442",840,83,46,"MASSEY LAKE",1,31.8055475,-95.8749629,8,21,1,1,"TEXAS"
"443",840,83,61,"DALLAS",1,32.7295462,-96.8055652,8,21,1,1,"TEXAS"
"444",840,83,62,"GLEN ROSE",1,32.2930094,-97.8146904,33,21,1,1,"TEXAS"
"445",840,83,64,"SELDEN",1,32.1649434,-98.0495578,33,21,1,1,"TEXAS"
"446",840,83,65,"GRAFORD",1,32.9898499,-98.389974,33,21,1,1,"TEXAS"
"447",840,83,66,"COTTONWOOD",1,32.2195028,-99.2729117,33,21,1,1,"TEXAS"
"448",840,83,67,"ALBANY",1,32.8297577,-99.1330879,33,21,1,1,"TEXAS"
"449",840,83,75,"GAINESVILLE",1,33.5610847,-97.2713009,8,21,1,1,"TEXAS"
"450",840,83,76,"OLNEY",1,33.3624717,-98.9245219,33,21,1,1,"TEXAS"
"451",840,83,92,"POST",1,33.1811653,-101.5601204,54,18,1,1,"TEXAS"
"452",840,83,273,"BLUE RIDGE",1,33.3677874,-96.0651288,8,21,1,1,"TEXAS"
"453",840,85,11,"GOSHEN",1,39.9004437,-111.9543769,88,9,1,1,"UTAH"
"454",840,85,15,"BEAVER",1,38.2041397,-112.6462479,84,16,1,1,"UTAH"
"455",840,85,19,"IRON SPRINGS",1,37.7942977,-113.4586179,88,9,1,1,"UTAH"
"456",840,85,105,"FAIRFIELD",1,40.0721647,-112.0953299,88,9,1,1,"UTAH"
"457",840,85,119,"BERYL",1,37.8962567,-113.6579899,88,9,1,1,"UTAH"
"458",840,87,7,"POST MILLS",1,43.8966381,-72.2608612,27,14,1,1,"VERMONT"
"459",840,87,10,"W RUTLAND",1,43.6132776,-73.0950522,27,14,1,1,"VERMONT"
"460",840,88,3,"W AUGUSTA",1,38.2891547,-79.4594489,13,28,1,1,"VIRGINIA"
"461",840,88,5,"STANLEY",1,38.5758867,-78.5051729,13,28,1,1,"VIRGINIA"
"462",840,88,7,"EDINBURG",1,38.8163337,-78.5638129,13,28,1,1,"VIRGINIA"
"463",840,88,10,"PORT ROYAL",1,38.1740529,-77.2184791,4,30,1,1,"VIRGINIA"
"464",840,88,14,"PUTNAM",1,37.0178877,-81.9476239,21,28,1,1,"VIRGINIA"
"465",840,88,15,"COVINGTON",1,37.8008166,-80.0474493,13,28,1,1,"VIRGINIA"
"466",840,88,21,"COVESVILLE",1,37.8976577,-78.6894059,11,29,1,1,"VIRGINIA"
"467",840,88,23,"SHIPMAN",1,37.7014449,-78.7872126,11,29,1,1,"VIRGINIA"
"468",840,88,40,"RINGGOLD",1,36.6309512,-79.2532438,11,29,1,1,"VIRGINIA"
"469",840,88,134,"NAT TUNNEL",1,36.7021737,-82.7480769,13,28,1,1,"VIRGINIA"
"470",840,89,1,"OZETTE",1,48.2533397,-124.2718359,93,5,1,1,"WASHINGTON"
"471",840,89,2,"PORT ANGELES",1,48.1127527,-123.3860549,93,5,1,1,"WASHINGTON"
"472",840,89,4,"NEWHALEM",1,48.7004247,-121.2122809,67,9,1,1,"WASHINGTON"
"473",840,89,17,"BUNKER HILL",1,46.2603987,-123.1780619,93,5,1,1,"WASHINGTON"
